2020-09-14 10:51:12.517 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2150 ms
2020-09-14 10:51:13.255 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-14 10:51:13.756 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-09-14 10:51:13.772 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2020-09-14 10:51:13.802 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2020-09-14 10:51:13.816 [restartedMain] INFO  com.example.demo1.Demo2Application - Started Demo2Application in 4.465 seconds (JVM running for 5.64)
2020-09-14 10:56:12.560 [http-nio-8888-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-14 10:56:12.560 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-09-14 10:56:12.577 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 17 ms
2020-09-14 19:34:11.800 [http-nio-8888-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-09-14 19:34:12.398 [http-nio-8888-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-09-14 19:34:18.735 [http-nio-8888-exec-9] INFO  com.example.demo1.controller.AccountController - pic=null
2020-09-14 19:34:18.736 [http-nio-8888-exec-9] INFO  com.example.demo1.controller.AccountController - id=0
2020-09-14 19:34:18.736 [http-nio-8888-exec-9] INFO  com.example.demo1.controller.AccountController - add
